"RedWeb
 בק""ן-Nr","RedWeb
 רגיל-Nr",מנוי משדר,מנוי אב,שם פוליגון ישן,שם פוליגון חדש,אזור,עיר,רשימת יישובים/בסיסים/מוצבים,זמן התגוננות לאזרח,ttl, רגיל proirity,"בק""ן proirity",class
61021,31021,38031021,8031021,א-16,קו העימות 27,16,5,שטח כינוס 21,מיידי,20,2,8,1
61022,31022,38031022,8031022,א-17,קצרין 9,16,6,שטח כינוס 22,מיידי,20,2,8,1
61023,31023,38031023,8031023,א-18,קצרין 8,16,7,שטח כינוס 23,מיידי,20,2,8,1
61024,31024,38031024,8031024,א-19,גליל עליון 51,16,8,שטח כינוס 24,30,30,2,8,1
61025,31025,38031025,8031025,א-20,גליל עליון 48,16,9,שטח כינוס 25,30,30,2,8,1
61026,31026,38031026,8031026,א-21,גליל עליון 45,16,10,שטח כינוס 26,30,30,2,8,1
61027,31027,38031027,8031027,א-22,גליל עליון 52,16,11,שטח כינוס 27,30,30,2,8,1
61028,31028,38031028,8031028,א-23,תבור 99,16,12,שטח כינוס 28,60,60,2,8,1
61065,31065,38031065,8031065,א-29,גליל תחתון 59,14,2,"נימרה+נטפים-אט""ל",60,60,2,8,1
61103,31103,38031103,8031103,א-31,"פצ""ן 320",12,2,הדס;נחל שיאון; זיווית,מיידי,20,2,8,1
61104,31104,38031104,8031104,א-32,"פצ""ן 321",12,3,אסטרה;הר דב;דליה,מיידי,20,2,8,1
61105,31105,38031105,8031105,א-33,"פצ""ן 322",12,4,ערער;אתר החרמון;תלתל;יפעת,מיידי,20,2,8,1
61106,31106,38031106,8031106,א-34,"פצ""ן 323",12,5,"עידו; מצפ""ש; ישראל",מיידי,20,2,8,1
61107,31107,38031107,8031107,א-35,"פצ""ן 324",12,6,105; בוסטר,מיידי,20,2,8,1
61108,31108,38031108,8031108,א-36,"פצ""ן 325",12,7,חזקיה;אביטל;קוניטרה;קו המוצבים,מיידי,20,2,8,1
61109,31109,38031109,8031109,א-37,"פצ""ן 326",12,8,פארס;117;נחל גולן,מיידי,20,2,8,1
61110,31110,38031110,8031110,א-38,"פצ""ן 327",12,9,ארז;גדי;חגי,מיידי,20,2,8,1
61111,31111,38031111,8031111,א-39,"פצ""ן 328",12,10,אתר חמת גדר,מיידי,20,2,8,1
61029,31029,38031029,8031029,ב-29,קו העימות 18,16,13,שטח כינוס 29,מיידי,20,2,8,1
61030,31030,38031030,8031030,ב-30,גליל עליון 36,16,14,שטח כינוס 30  ,30,30,2,8,1
61031,31031,38031031,8031031,ב-31,גליל תחתון 62,16,15,שטח כינוס 31,60,60,2,8,1
61032,31032,38031032,8031032,ב-32,תבור 97,16,16,שטח כינוס 32,60,60,2,8,1
61067,31067,38031067,8031067,ב-36,עמק יזרעאל 88,14,3,כנף 1,60,60,2,8,1
61073,31073,38031073,8031073,ב-37,קו העימות 21,14,4,"יב""א מירון",מיידי,20,2,8,1
61063,31063,38031063,8031063,ב-38,חיפה 76,14,5,"בא""ח חה""י חיפה",60,60,2,8,1
61066,31066,38031066,8031066,ב-39,גליל עליון 39,14,6,"תפן-אט""ל",30,30,2,8,1
61033,31033,38031033,8031033,ג-8,עמק יזרעאל 92,16,17,"שטח כינוס 33 - נעורה- ימ""ח",60,60,2,8,1
61034,31034,38031034,8031034,ג-9,עמק יזרעאל 91,16,18,"שטח כינוס 34 - עמוס- ימ""ח",60,60,2,8,1
61075,31075,38031075,8031075,ג-11,שומרון 119,14,1,טול כרם,90,90,2,8,1
61072,31072,38031072,8031072,ה-14,אשדוד 277,14,7,כנף 2,90,90,2,8,1
60063,30063,38030063,8030063,ו-18,אשדוד 265,16,1,"פלמחים בא""ח 30",60,60,2,8,1
60064,30064,38030064,8030064,ו-20,אשדוד 269,16,2,תל נוף,60,60,2,8,1
61069,31069,38031069,8031069,ו-24,דן 158,14,8,כנף 15-שדה דב+תחנת כח רידינג,90,90,2,8,1
61071,31071,38031071,8031071,ז-5,נגב 303,14,9,כנף 25-רמון,90,90,2,8,1
61074,31074,38031074,8031074,ז-6,נגב 304,14,10,"יב""א רמון",90,90,2,8,1
61070,31070,38031070,8031070,ז-7,נגב 298,14,11,"בח""א 28 - נבטים",90,90,2,8,1
60033,30033,38030033,8030033,ל-33,עוטף עזה 235,16,3,כימדע,15,20,2,8,1
61064,31064,38031064,8031064,ל-65,אשדוד 270,14,13,"בסיס חה""י אשדוד",45,45,2,8,1
60067,30067,38030067,8030067,ל-67,אשדוד 274,16,4,כנף -4 חצור,45,45,2,8,1
61068,31068,38031068,8031068,מ-4,ערבה 309,14,14,"בח""א 10-עובדה",180,180,2,8,1
61092,31092,38031092,8031092,ל-3,אשקלון 239,14,12,תחנת הכוח רוטנברג + מתקן התפלה,15,20,2,8,1
61093,31093,38031093,8031093,ל-63,נגב 306,14,15,תחנת הכוח רמת חובב,90,90,2,8,1
61094,31094,38031094,8031094,ו-34,שפלה 186,14,16,תחנת כח גזר,90,90,2,8,1
61095,31095,38031095,8031095,ה-19,אשדוד 264,14,17,תחנת כוח צופית,90,90,2,8,1
61096,31096,38031096,8031096,ד-17,מנשה 110,14,18,תחנת כוח חגית,90,90,2,8,1
61097,31097,38031097,8031097,ג-13,עמק יזרעאל 94,14,19,תחנת כוח אלון תבור,60,60,2,8,1
61098,31098,38031098,8031098,ב-40,חיפה 77,14,20,תחנת כוח חיפה,60,60,2,8,1
61099,31099,38031099,8031099,ל-47,אשדוד 263,16,19,תחנת כוח אשדוד,45,45,2,8,1
61100,31100,38031100,8031100,ו-35,שפלה 187,16,20,מתקן התפלה פלמחים,90,90,2,8,1
61101,31101,38031101,8031101,נ-1,ים 1,12,1,אסדות תמר ומרי בי,60,60,2,8,1
