אילות,מ-2,אילת 311,8030159,38030159,30159,8060159,38030159,60159,30,4,8,0
גאליה,ו-17,אשדוד 266,8030056,38030056,30056,8060056,38030056,60056,60,4,8,0
בית גמליאל,ו-22,אשדוד 267,8030078,38030078,30078,8060078,38030078,60078,60,3,8,0
בית אלעזרי,ו-21,אשדוד 268,8030065,38030065,30065,8060065,38030065,60065,60,4,8,0
"מרהו""ם בי""ס לצניחה מ.ק 860 (תל נוף) ",ו-20,אשדוד 269,8030064,38030064,30064,8060064,38030034,60064,60,2,8,1
אזור תעשייה צומת עד הלום,ל-46,אשדוד 271,8030046,38030046,30046,8060046,38030046,60046,45,5,8,0
אמונים,ל-42,אשדוד 272,8030042,38030042,30042,8060042,38030042,60042,45,2,8,0
בני עייש,ל-52,אשדוד 273,8030052,38030052,30052,8060052,38030052,60052,60,3,8,0
אביגדור,ל-49,אשדוד 275,8030049,38030049,30049,8060049,38030049,60049,45,4,8,0
"מוא""ז שפיר ",ל-41,אשדוד 276,8030041,38030041,30041,8060041,38030041,60041,45,2,8,0
גבעת ישעיהו,ה-9,אשדוד 278,8030147,38030147,30147,8060147,38030147,60147,60,2,8,0
בסיס נחל שורק,ה-18,אשדוד 279,8031079,38031079,31079,8061079,38031079,61079,90,2,8,1
ורדון,ל-39,אשדוד 280,8030039,38030039,30039,8060039,38030039,60039,45,2,8,0
אבן שמואל,ל-36,אשדוד 281,8030036,38030036,30036,8060036,38030036,60036,45,4,8,0
"בא""פ לכיש (בית ג'וברין)",ל-53,אשדוד 282,8030053,38030053,30053,8060053,38030053,60053,60,2,8,0
אוהד,ל-17,אשקלון 234; עוטף עזה 234,8030017,38030017,30017,8060017,38030017,60017,20,2,8,0
אבשלום,ל-18,אשקלון 238; עוטף עזה 238,8030018,38030018,30018,8060018,38030018,60018,30,2,8,0
"בט""ר ניצנים",ל-51,אשקלון 245,8030051,38030051,30051,8060051,38030051,60051,45,2,8,0
אשקלון,ל-29,אשקלון 246,8030029,38030029,30029,8060029,38030029,60029,30,4,8,0
אשקלון (תעשייה),ל-28,אשקלון 247,8030028,38030028,30028,8060028,38030028,60028,30,2,8,0
ברכיה,ל-40,אשקלון 248,8030040,38030040,30040,8060040,38030040,60040,30,2,8,0
אלומה (חזון יחזקאל),ל-37,אשקלון 249,8030037/8030038,38030037/38030038,30037,8060037/8060038,38030037/38030038,60037,30,2,8,0
בית שקמה,ל-27,אשקלון 250,8030027,38030027,30027,8060027,38030027,60027,30,2,8,0
ברור חיל,ל-25,אשקלון 251; עוטף עזה 251,8030025/8030026,38030025/38030026,30025,8060025/8060026,38030025/38030026,60025,30,2,8,0
דורות,ל-24,אשקלון 252,8030024/8030048,38030024/38030048,30024,8060024/8060048,38030024/38030048,60024,30,2,8,0
אשבול,ל-22,אשקלון 253,8030022/8030023,38030022/38030023,30022,8060022/8060023,38030022/38030023,60022,30,2,8,0
בית הגדי,ל-20,אשקלון 254,8030020,38030020,30020,8060020,38030020,60020,30,3,8,0
ברוש,ל-21,אשקלון 255,8030021/8030034,38030021/38030034,30021,8060021/8060034,38030021/38030034,60021,30,2,8,0
אורים,ל-44,אשקלון 256,8030044,38030044,30044,8060044,38030044,60044,30,2,8,0
גבולות,ל-45,אשקלון 257,8030045,38030045,30045,8060045,38030045,60045,30,2,8,0
אמציה,ל-58,באר שבע 285,8030058,38030058,30058,8060058,38030058,60058,60,2,8,0
בית קמה,ל-35,באר שבע 286,8030035,38030035,30035,8060035,38030035,60035,60,3,8,0
